   Z    A                         m(KeV)      Element   BETA_GS   BETA_2+ E_2+(MeV)
  84  208                       -17469.2         Po     0.000     0.020     0.687
  84  210                       -15952.7         Po     0.000     0.014     1.181
  84  212                       -10369.0         Po     0.000     0.020     0.727
  84  214                        -4469.6         Po     0.000     0.090     0.609
  84  216                         1784.0         Po     0.000     0.090     0.550
  84  218                         8358.8         Po     0.056     0.140     0.511
  86  198                          -1230         Rn     0.130     0.130     0.339
  86  200                          -4014         Rn     0.113     0.113     0.433
  86  202                          -6274         Rn     0.100     0.100     0.504
  86  204                          -7983         Rn     0.120     0.120     0.543
  86  206                          -9115         Rn     0.090     0.090     0.575
